id,nombre,codigo,municipio_id,tipo,activa,creado_en
1,Zona A,MAO-ZA,1,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
2,Zona B,MAO-ZB,1,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
3,Zona C,MAO-ZC,1,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
4,Zona D,MAO-ZD,1,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
5,Zona E,MAO-ZE,1,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
6,Zona F,MAO-ZF,1,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
7,Zona 1,ESP-Z1,2,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
8,Zona 2,ESP-Z2,2,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
9,Zona 3,ESP-Z3,2,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
10,Zona Única,LAG-ZU,3,URBANA,true,Tue Aug 04 2026 23:55:23 GMT-0400 (GMT-04:00)
